bank_row_id,utr,posted_at,credit_amount_paise,currency,narration,bank_ref
bank_Jnns6KIkAW24jx,UTIBN71968999353,2026-06-03T14:30:00,21955176,INR,NEFT CR: AXIS UTIBN71968999353 RAZORPAY SETTLEMENT,S2951450741
bank_BZ23MiOSfDmlGT,UTIBN77637811819,2026-06-12T14:30:00,2881124,INR,NEFT CR: HDFC UTIBN77637811819 RAZORPAY SETTLEMENT,S9369908209
bank_0QrIlpmmqLxez0,UTIBN61835978378,2026-06-10T14:30:00,24354527,INR,NEFT CR: KOTAK UTIBN61835978378 RAZORPAY SETTLEMENT,S1406999229
bank_pjn0ypaVHhsAx1,KKBKN31347896197,2026-06-02T14:30:00,33199546,INR,NEFT CR: AXIS KKBKN31347896197 RAZORPAY SETTLEMENT,S4530963119
bank_wZROtcJ3gyiz30,HDFCN18013266810,2026-06-22T14:30:00,195772,INR,NEFT CR: KOTAK HDFCN18013266810 RAZORPAY SETTLEMENT,S9225117845
bank_zddkihU9yIRr5n,HDFCN29896782995,2026-06-04T14:30:00,449009,INR,NEFT CR: KOTAK HDFCN29896782995 RAZORPAY SETTLEMENT,S1701271297
bank_ZVCUkizLjE6k8m,UTIBN44883009501,2026-06-26T14:30:00,6076272,INR,NEFT CR: KOTAK UTIBN44883009501 RAZORPAY SETTLEMENT,S8610012416
bank_EGx9VuGEKlBlSm,KKBKN61118195198,2026-06-18T14:30:00,614248,INR,NEFT CR: HDFC KKBKN61118195198 RAZORPAY SETTLEMENT,S1996447454
bank_dUY2pHe71IalAE,KKBKN28473209916,2026-07-06T14:30:00,50000520,INR,NEFT CR: YESBANK KKBKN28473209916 RAZORPAY SETTLEMENT,S8716539925
bank_FC5Zz7lrNEw8wt,YESBN14751324612,2026-07-06T14:30:00,20019638,INR,NEFT CR: KOTAK YESBN14751324612 RAZORPAY SETTLEMENT,S0933565934
bank_7Rr9ePDPa4RKaF,YESBN91152695787,2026-06-08T14:30:00,702742,INR,NEFT CR: YESBANK YESBN91152695787 RAZORPAY SETTLEMENT,S8974356562
bank_CqLEwzcdcVG0Yk,YESBN79339562697,2026-06-19T14:30:00,9658862,INR,NEFT CR: ICICI YESBN79339562697 RAZORPAY SETTLEMENT,S5255511472
bank_RLedJGMey7VVTo,UTIBN99102084604,2026-07-10T14:30:00,8276255,INR,NEFT CR: YESBANK UTIBN99102084604 RAZORPAY SETTLEMENT,S6048374044
bank_9obxlkNdIjTaPr,YESBN64298518371,2026-06-30T14:30:00,3765175,INR,NEFT CR: HDFC YESBN64298518371 RAZORPAY SETTLEMENT,S6898039190
bank_c08Hjf5FgyOYzq,HDFCN97125786969,2026-06-27T14:30:00,3561173,INR,NEFT CR: YESBANK HDFCN97125786969 RAZORPAY SETTLEMENT,S4047872468
bank_2cKmcbY41OgEU4,UTIBN29625016754,2026-07-14T14:30:00,2844715,INR,NEFT CR: HDFC UTIBN29625016754 RAZORPAY SETTLEMENT,S9617633781
bank_mzYV3ijzbNxFcx,ICICN47279520616,2026-07-07T14:30:00,7865181,INR,NEFT CR: KOTAK ICICN47279520616 RAZORPAY SETTLEMENT,S3549008607
bank_Q2ndUCGZGBVDqt,ICICN34249638073,2026-06-19T14:30:00,1020402,INR,NEFT CR: AXIS ICICN34249638073 RAZORPAY SETTLEMENT,S2254729985
bank_r4aVfzfMwLVCc1,KKBKN01040045293,2026-07-06T14:30:00,315143,INR,NEFT CR: YESBANK KKBKN01040045293 RAZORPAY SETTLEMENT,S2675615953
bank_Q41bUxE52afDS7,YESBN96447173182,2026-06-05T14:30:00,2271043,INR,NEFT CR: HDFC YESBN96447173182 RAZORPAY SETTLEMENT,S0004712234
bank_lseiAMKJzACYZi,YESBN55515774510,2026-06-12T14:30:00,15263985,INR,NEFT CR: HDFC YESBN55515774510 RAZORPAY SETTLEMENT,S8648559950
bank_gHUhMdbKuWPDk5,UTIBN26705601980,2026-07-03T14:30:00,30000318,INR,NEFT CR: YESBANK UTIBN26705601980 RAZORPAY SETTLEMENT,S4455598151
bank_WLiXF22ev4bef0,UTIBN35601005841,2026-06-09T14:30:00,40000412,INR,NEFT CR: KOTAK UTIBN35601005841 RAZORPAY SETTLEMENT,S0503378459
bank_3MidQ9MajM0UUW,HDFCN50668317938,2026-06-16T14:30:00,3953402,INR,NEFT CR: KOTAK HDFCN50668317938 RAZORPAY SETTLEMENT,S4255135478
bank_KimU9ls7oF3Y2W,KKBKN50171408335,2026-07-16T14:30:00,670082,INR,NEFT CR: KOTAK KKBKN50171408335 RAZORPAY SETTLEMENT,S8173866571
