event_id,event_type,txn_id,order_id,amount_paise,currency,status,created_at,method,description
evt_oh45VYHOI5FWfh,PAYMENT,pay_gZDnKaqJgRiKBR,order_uNiXebpovaWDGW,4999900,INR,PROCESSED,2026-06-08T23:05:57,emi,Classmate spiral notebook pack
evt_Kx5Q8qZGhgGOzF,PAYMENT,pay_HRmtQbsTbRx97S,order_dURcC5GiB3k50H,72787,INR,PROCESSED,2026-06-22T20:18:07,upi,Mamaearth onion hair shampoo
evt_RwILmi3svYELno,PAYMENT,pay_RwV8ABRb4KhJ3y,order_JuF8QiJjcybE0n,499900,INR,PROCESSED,2026-06-01T01:53:31,card,Wings of Fire paperback
evt_GUqj9UbZIbwH8a,PAYMENT,pay_Oyjn4ik0ol7K9f,order_i5XUcu7G8UxM3n,60000630,INR,PROCESSED,2026-06-08T09:00:00,upi,Sleepwell ortho mattress queen
evt_Qc4q5gbcab2A21,PAYMENT,pay_E8SwArNZCnRJla,order_C0mcJw9Pn1L2yA,386000,INR,CAPTURED,2026-06-24T01:27:36,card,Mi power bank 20000mAh
evt_3bj2PMy0LqmGLU,PAYMENT,pay_CjQlszSTNNMhwq,order_XckThVRjSIi3RE,1416080,INR,PROCESSED,2026-07-08T17:39:04,upi,Mamaearth onion hair shampoo
evt_9usT4dn68GXTCM,PAYMENT,pay_C3sWBgb6Wzqah4,order_iprAwlYBLHF1vZ,289900,INR,PROCESSED,2026-06-24T08:00:00,card,Mamaearth onion hair shampoo
evt_rqtHJmaYaKwbPe,PAYMENT,pay_x91UmTKr6ouzwo,order_zZVCUkizLjE6k8,4999900,INR,PROCESSED,2026-06-24T05:58:52,netbanking,Jockey vest pack of three
evt_eyCcbq1F5DI0Uj,PAYMENT,pay_JMsJOySSLmeEFG,order_qK5kKgoqGvMDX3,348900,INR,PROCESSED,2026-06-21T01:01:28,upi,Milton thermosteel flask 1L
evt_V7rsyJmxoYQ6nl,REFUND,pay_ALE5HmsVfX6AJq,order_PLhNPRuymBwJwt,10000104,INR,PROCESSED,2026-06-30T09:00:00,upi,
evt_8UOOVQGftCZ9vg,PAYMENT,pay_vPcmZRl8md05Y2,order_RV9ojqygiCFC5Z,69900,INR,PROCESSED,2026-06-28T21:24:58,upi,Woodland leather high ankle
evt_cev66jU5eMVpU0,PAYMENT,pay_nK4ZiOkLPtYk56,order_pPnW0pWFkvJSUt,100000,INR,PROCESSED,2026-07-09T08:26:30,card,Allen Solly cotton casual shirt
