detail_id,settlement_id,event_id,line_type,gross_effect_paise,fee_paise,tax_paise,net_effect_paise,settled_at,currency,reference_text
dtl_teuaEVQ1IH3e1S,setl_IsnbKMrGkHeUcr,evt_9APDjoVvCcrUrs,PAYMENT,19900,398,72,19430,2026-06-19T11:30:00,INR,
dtl_xMWAMGFrRIt8Ch,setl_grV3dCj2M180bR,evt_z42Mg6oL2Qdk2G,PAYMENT,16700,0,0,16700,2026-06-30T11:30:00,INR,
dtl_mXnvAk7CAvr3iL,setl_Y8I67wvqlLTGfF,evt_P2Ft166b4Mp0Pp,PAYMENT,392100,6862,1235,384003,2026-07-03T11:30:00,INR,
dtl_8Nl7qCkiKRBXKe,setl_49bpPV3IQj1KD1,evt_XygCJHcvmRPm1q,PAYMENT,79900,0,0,79900,2026-07-14T11:30:00,INR,
dtl_3e3jKzaTS9Qpfz,setl_DWwcM1PnA5Knvu,evt_5mP7kZphO8CCCT,PAYMENT,44900,898,162,43840,2026-06-04T11:30:00,INR,
dtl_twegDqMoKb85In,setl_dwJUDfJk4Msxjv,evt_Evf8JzgUPGyJjF,PAYMENT,21299,426,77,20796,2026-06-05T11:30:00,INR,
dtl_zBEGyNhmOSudWP,setl_8sYMh9NxESyipV,evt_E49AMGZU0A0JUY,PAYMENT,9900,0,0,9900,2026-06-12T11:30:00,INR,
dtl_rEbsDc6WhL9Pjy,setl_bWcKIDcDmkYdVm,evt_Wbo0pyLPi5rUyw,PAYMENT,44900,898,162,43840,2026-06-19T11:30:00,INR,
dtl_qLnN9TJcjTzRSa,setl_R6ZDQUhWPs5DwJ,evt_H5N1tJG4rpCNUH,PAYMENT,299900,5998,1080,292822,2026-06-09T11:30:00,INR,
dtl_Cus8Hbo1yRijad,setl_ZXXbGb3AO1ZdIp,evt_EbtaxREBgLinmL,PAYMENT,8204500,0,0,8204500,2026-07-10T11:30:00,INR,
dtl_4ik0ol7K9fGUqj,setl_8RrZA5nl6xOyjn,evt_i3RE1s0SUkgjbL,PAYMENT,499900,9998,1800,488102,2026-07-15T11:30:00,INR,
dtl_5wGZdZ9JDhQrWi,setl_ZCgFTVERUj074k,evt_dKlYMOQZzcSJqt,PAYMENT,299900,5998,1080,292822,2026-06-09T11:30:00,INR,
dtl_Qd3BxKxR2exmRl,setl_8hoCLYAO3hkWIU,evt_9NlcqHkFUUYEZU,PAYMENT,46500,930,167,45403,2026-06-20T11:30:00,INR,
dtl_ZoUzMlkp6hfAwy,setl_JkR9mxuj83ZsyG,evt_IKfV3HK8aTNY82,PAYMENT,38600,772,139,37689,2026-06-10T11:30:00,INR,
dtl_C3uMQsaAam6ccs,setl_0F856rqP0yqrNd,evt_9eKf4lNZRVr3aR,PAYMENT,4900,0,0,4900,2026-06-25T11:30:00,INR,
dtl_cW87cNu1CE7fsD,setl_0F856rqP0yqrNd,evt_3TblCg2qG9R8F3,PAYMENT,29523,0,0,29523,2026-06-25T11:30:00,INR,
dtl_PocVxsgsuNrIhA,setl_JkR9mxuj83ZsyG,evt_p0T9UwqTPEVNtw,REFUND,-25000,500,90,-25590,2026-06-10T11:30:00,INR,
dtl_hTCS0wg5EeUkTB,setl_aAtchV3JGkWXqd,evt_3WDO4rZvV64PWW,PAYMENT,399900,6998,1260,391642,2026-06-02T11:30:00,INR,
dtl_ZFhPjuJQkmAJEX,setl_8rU0LrWMxQttSu,evt_eRvooFNr1bu4Fz,PAYMENT,225689,4514,813,220362,2026-06-12T11:30:00,INR,
dtl_bWaoGaQMZ2xjjg,setl_K5f5QrXaf6KNFw,evt_9mXNUXvVR71Fk9,PAYMENT,24900,0,0,24900,2026-06-02T11:30:00,INR,
dtl_4UPL4Aar9Vuvkf,setl_e49KSwjzUVytR0,,REFUND,-10000107,0,0,-10000107,2026-06-10T11:30:00,INR,
dtl_eJlRXs8oljiPPA,setl_nQ18oUWuMunVTk,evt_vLPLebAO44ayWk,PAYMENT,30000300,0,0,30000300,2026-06-19T11:30:00,INR,
dtl_kvkK5vNvTThJE9,setl_m2ZnT2u0e8I9lK,evt_6MrMYAhoTXaCRb,REFUND,-25000,0,0,-25000,2026-07-14T11:30:00,INR,
dtl_uIOklcE0HMXODT,setl_Gv75Or7Rxbso9d,evt_0qvDzroZ1cGcZm,PAYMENT,799900,13998,2520,783382,2026-06-27T11:30:00,INR,
dtl_K3tvKduTcbfdb8,setl_EjkGgQT2a5ywH4,evt_NUyqmGt26limBE,PAYMENT,443100,13293,2393,427414,2026-06-17T11:30:00,INR,
dtl_7jXCV6ie4aiqfy,setl_hFPBsOWdqVAlrz,evt_cakTHwCaQ7hYM7,PAYMENT,314900,0,0,314900,2026-06-18T11:30:00,INR,
dtl_Uo2kkjMeW3ZDhM,setl_KmURa2I267swj7,evt_5kKgoqGvMDX3D9,PAYMENT,491200,9824,1768,479608,2026-06-19T11:30:00,INR,
dtl_3RCptkRnBVj8c1,setl_EjkGgQT2a5ywH4,evt_LwixN6A2ue99az,PAYMENT,40098,0,0,40098,2026-06-17T11:30:00,INR,
dtl_LddBEAzUMd9rB0,setl_iNu7NdWHRWW7hy,evt_bGP7RnrdFIX52t,PAYMENT,1999900,39998,7200,1952702,2026-06-09T11:30:00,INR,
dtl_AyXyvIYwdtnuN8,setl_9xjWC0LZg81L1P,evt_Zuv4gJwsLWXhgB,PAYMENT,4795800,83927,15107,4696766,2026-06-08T11:30:00,INR,
dtl_Hyvi7iI7m3I3tk,setl_IsnbKMrGkHeUcr,evt_VU77jOh5cURVdu,PAYMENT,6225600,0,0,6225600,2026-06-19T11:30:00,INR,
dtl_4rmTx1Re3fFxNc,setl_kn0jja0k9xiIlq,evt_PQqKpOy2DAjSVn,PAYMENT,119900,2098,378,117424,2026-06-04T11:30:00,INR,
dtl_gfB7XiyinPfZFR,setl_Ja6AlsvdCtbodh,evt_mVJvtDSGRNviTy,REFUND,-10000106,0,0,-10000106,2026-07-03T11:30:00,INR,
dtl_FCCnkIdjTYWZvb,setl_O7Lzd80WjFYDbY,evt_Ino9rvxqbvVlQh,PAYMENT,349900,6998,1260,341642,2026-06-18T11:30:00,INR,
dtl_Qc0eFL4TVJeBHd,setl_Y8I67wvqlLTGfF,evt_LPCEAhp5bBOvbS,PAYMENT,3187400,0,0,3187400,2026-07-03T11:30:00,INR,
dtl_d5vaWltcu2Ygtd,setl_fOrv37R1yrZPQf,evt_B6gEHCcAHpxbmq,PAYMENT,1299900,25998,4680,1269222,2026-06-17T11:30:00,INR,
dtl_6RLp1tiVIMHAPS,setl_9xjWC0LZg81L1P,evt_PfOE6SzVpyfgDe,PAYMENT,499900,0,0,499900,2026-06-08T11:30:00,INR,
