settlement_id,utr,settlement_date,gross_payment_paise,refund_paise,fee_paise,tax_paise,net_amount_paise,line_count,currency,status
setl_cQdAj2xE4u1GRZ,ICICN07559185827,2026-07-15,214303,25000,602,108,188593,3,INR,PROCESSED
setl_hFPBsOWdqVAlrz,HDFCN96203588541,2026-06-18,464600,0,1998,360,462242,4,INR,PROCESSED
setl_RykAhvNslI8o6W,YESBN03910022165,2026-06-18,11837100,0,29734,5353,11802013,6,INR,PROCESSED
setl_2aUmSkjRH3IcMx,HDFCN38972150724,2026-06-25,100000,0,0,0,100000,1,INR,PROCESSED
setl_IsnbKMrGkHeUcr,YESBN79339562697,2026-06-19,9693338,0,29216,5260,9658862,7,INR,PROCESSED
setl_aAtchV3JGkWXqd,ICICN43922890915,2026-06-02,2438401,2500,19448,3501,2412952,6,INR,PROCESSED
setl_gzPJ6rZ0g02xen,ICICN15538380109,2026-07-02,534883,0,10195,1835,522853,3,INR,PROCESSED
setl_WZRKb8aiPtAlOn,ICICN47259387182,2026-06-26,8348125,0,79211,14258,8254656,4,INR,PROCESSED
setl_ULfCgT5TcE2Qmk,HDFCN70841283238,2026-07-13,100000,0,2000,360,97640,1,INR,PROCESSED
setl_OwU3fFrEHqKob5,HDFCN45640569351,2026-06-19,60000600,10000100,0,0,50000500,2,INR,PROCESSED
setl_Moro9rooevZlnu,KKBKN31704779496,2026-06-23,100000,25000,438,79,74483,2,INR,PROCESSED
setl_iKzEk7jiQP4jwo,ICICN81210799489,2026-07-07,1197362,0,22879,4118,1170365,5,INR,PROCESSED
setl_4ueDi3TNSuo2uq,ICICN15744371360,2026-06-16,3584157,105,1048,189,3582815,4,INR,PROCESSED
setl_grV3dCj2M180bR,UTIBN52865058408,2026-06-30,1310170,0,22947,4132,1283091,5,INR,PROCESSED
setl_EjkGgQT2a5ywH4,ICICN69756502702,2026-06-17,7236474,0,56163,10110,7170201,6,INR,PROCESSED
setl_ZXXbGb3AO1ZdIp,UTIBN99102084604,2026-07-10,8304500,25000,2750,495,8276255,3,INR,PROCESSED
setl_zS5C7vNKEy36CC,HDFCN16018251461,2026-06-06,30000303,10000101,0,0,20000202,2,INR,PROCESSED
setl_e49KSwjzUVytR0,UTIBN61835978378,2026-06-10,34414821,10000107,51006,9181,24354527,4,INR,PROCESSED
setl_3GvGCP2SKwFV0r,YESBN96447173182,2026-06-05,2277800,0,5726,1031,2271043,6,INR,PROCESSED
setl_st2LXdqUXXd2wR,ICICN46375559459,2026-07-16,1982997,0,39138,7046,1936813,4,INR,PROCESSED
setl_0F856rqP0yqrNd,ICICN22142759526,2026-06-25,369223,103,698,126,368296,5,INR,PROCESSED
setl_ampt6pzzZ441pD,ICICN63931741816,2026-06-22,5199795,0,90670,16321,5092804,5,INR,PROCESSED
setl_opvF9MFzixNFeD,YESBN83680523457,2026-07-08,1449700,0,29493,5309,1414898,3,INR,PROCESSED
setl_OCIliej45topay,YESBN68372621631,2026-06-27,1971400,0,10391,1869,1959140,5,INR,PROCESSED
setl_COGhViDHJgzaNl,HDFCN59699567366,2026-07-08,30668615,10000105,0,0,20668510,3,INR,PROCESSED
setl_8sYMh9NxESyipV,YESBN55515774510,2026-06-12,15775691,0,433648,78058,15263985,6,INR,PROCESSED
setl_fTprN6fpNHQ3mK,UTIBN67853811303,2026-06-29,27245944,0,4998,901,27240045,3,INR,PROCESSED
setl_qTt75L0AuLFps7,KKBKN35232635659,2026-07-06,1729900,0,33002,5941,1690957,4,INR,PROCESSED
setl_m2Qx3ozYmqHdM6,HDFCN50668317938,2026-06-16,3965200,0,9998,1800,3953402,3,INR,PROCESSED
setl_iNu7NdWHRWW7hy,HDFCN61557123147,2026-06-09,12706867,0,110014,19803,12577050,7,INR,PROCESSED
setl_SFpPdKRakjOCRk,YESBN06797434402,2026-06-27,1907175,0,29274,5270,1872631,6,INR,PROCESSED
setl_z1TsPc6RKxhHR7,KKBKN01040045293,2026-07-06,321158,0,5097,918,315143,3,INR,PROCESSED
setl_s8yal8gd0kJSkH,UTIBN77637811819,2026-06-12,2947200,0,55996,10080,2881124,4,INR,PROCESSED
setl_ejISy1ngOnZc4r,YESBN91152695787,2026-06-08,767800,49975,12782,2301,702742,4,INR,PROCESSED
setl_ClvF98OVQ2trsJ,HDFCN65874576690,2026-06-30,12878600,0,70126,12623,12795851,5,INR,PROCESSED
setl_UEiwRzeersPoWX,KKBKN57296118048,2026-06-10,100000,0,0,0,100000,1,INR,PROCESSED
setl_BLQ4N33NapbjUC,YESBN44662161931,2026-06-08,4529700,0,131676,23701,4374323,3,INR,PROCESSED
setl_6txF0fX2UjMCG5,YESBN19847192175,2026-07-11,5941063,102,81220,14620,5845121,5,INR,PROCESSED
setl_SZW4AHt3gb9xF8,YESBN30331497343,2026-07-15,401605,0,2097,378,399130,5,INR,PROCESSED
setl_S2SSI1eu2aO44I,YESBN57418895463,2026-07-15,2935900,25000,28488,5128,2877284,5,INR,PROCESSED
setl_m2ZnT2u0e8I9lK,KKBKN68088568099,2026-07-14,132642,25000,2000,360,105282,3,INR,PROCESSED
setl_49bpPV3IQj1KD1,KKBKN37310972958,2026-07-14,2917700,0,50360,9065,2858275,6,INR,PROCESSED
setl_VMquDrQtzqzXkB,UTIBN47537137441,2026-07-15,2858399,0,31115,5600,2821684,6,INR,PROCESSED
setl_uYkitGoZRQS2Tm,ICICN47996364408,2026-07-08,40000420,0,0,0,40000420,1,INR,PROCESSED
setl_8hoCLYAO3hkWIU,HDFCN68029394615,2026-06-20,350100,100,1928,347,347725,6,INR,PROCESSED
setl_bWcKIDcDmkYdVm,ICICN34249638073,2026-06-19,1025711,101,4413,795,1020402,7,INR,PROCESSED
setl_Y8I67wvqlLTGfF,UTIBN72668204909,2026-07-03,5450400,0,44130,7944,5398326,7,INR,PROCESSED
setl_R6ZDQUhWPs5DwJ,YESBN89878502520,2026-06-09,3084746,0,57972,10436,3016338,7,INR,PROCESSED
setl_gXjVMi35pnJ0Uc,KKBKN18853065758,2026-07-13,100000,0,0,0,100000,1,INR,PROCESSED
setl_bL6f612eOxxR9n,KKBKN40052458097,2026-07-08,5229200,0,41215,7419,5180566,5,INR,PROCESSED
setl_Yll1nXEMoHp2NQ,HDFCN94601055153,2026-06-08,586631,0,9858,1774,574999,4,INR,PROCESSED
setl_sRMibkqNeUvXxw,UTIBN52467209557,2026-06-13,16348497,0,326899,58842,15962756,3,INR,PROCESSED
setl_O7Lzd80WjFYDbY,KKBKN86889500790,2026-06-18,15864397,0,8414,1516,15854467,6,INR,PROCESSED
setl_xIxg36JNnfLiuy,UTIBN29625016754,2026-07-14,2861891,0,14556,2620,2844715,7,INR,PROCESSED
