bank_row_id,utr,posted_at,credit_amount_paise,currency,narration,bank_ref
bank_0eQAeZbXU5Wv7E,HDFCN44207737364,2026-06-05T14:30:00,24444891,INR,NEFT CR: YESBANK HDFCN44207737364 RAZORPAY SETTLEMENT,S8123444228
bank_UT5aDCjNwD8Ypt,YESBN95936488111,2026-06-19T14:30:00,40000440,INR,NEFT CR: KOTAK YESBN95936488111 RAZORPAY SETTLEMENT,S1041560140
bank_kCyqyaGVm0IB9X,HDFCN36885783965,2026-07-03T14:30:00,72935,INR,NEFT CR: AXIS HDFCN36885783965 RAZORPAY SETTLEMENT,S9475176796
bank_p6lOVSyzt39YIz,HDFCN33550340192,2026-07-11T14:30:00,19578445,INR,NEFT CR: HDFC HDFCN33550340192 RAZORPAY SETTLEMENT,S8469616037
bank_u7LHIRXR556D4f,UTIBN18211942676,2026-07-07T14:30:00,3863090,INR,NEFT CR: ICICI UTIBN18211942676 RAZORPAY SETTLEMENT,S4648443214
bank_H7c2ypzeZNGmnD,ICICN32478009131,2026-07-06T14:30:00,50000555,INR,NEFT CR: KOTAK ICICN32478009131 RAZORPAY SETTLEMENT,S0899174083
bank_3GYqkWXm8i70oc,KKBKN00389632011,2026-07-10T14:30:00,2345524,INR,NEFT CR: ICICI KKBKN00389632011 RAZORPAY SETTLEMENT,S7456879415
bank_sEZhTer7XXsohV,ICICN10434968969,2026-07-13T14:30:00,40000420,INR,NEFT CR: HDFC ICICN10434968969 RAZORPAY SETTLEMENT,S5205511268
bank_2ow4KVFxF6LlOD,YESBN61130606350,2026-06-19T14:30:00,2397653,INR,NEFT CR: AXIS YESBN61130606350 RAZORPAY SETTLEMENT,S4536136028
bank_EUz6Q6QogtxiWy,ICICN06567340325,2026-06-26T14:30:00,3846704,INR,NEFT CR: ICICI ICICN06567340325 RAZORPAY SETTLEMENT,S4915010040
bank_CB2EzUVw9cFJl3,UTIBN06331475343,2026-06-15T14:30:00,4908818,INR,NEFT CR: AXIS UTIBN06331475343 RAZORPAY SETTLEMENT,S6175179534
bank_Im19zi4tabViBr,HDFCN48089438420,2026-07-13T14:30:00,50000565,INR,NEFT CR: YESBANK HDFCN48089438420 RAZORPAY SETTLEMENT,S5430028476
bank_1B6BeO9VsdxRW4,HDFCN14630682031,2026-07-11T14:30:00,40000404,INR,NEFT CR: ICICI HDFCN14630682031 RAZORPAY SETTLEMENT,S3662104045
bank_f3cuo2dOxdlv7D,HDFCN44480792335,2026-07-07T14:30:00,20354972,INR,NEFT CR: ICICI HDFCN44480792335 RAZORPAY SETTLEMENT,S2911467748
bank_xVIcLo0HOaJXjW,YESBN63003654101,2026-07-13T14:30:00,20068460,INR,NEFT CR: YESBANK YESBN63003654101 RAZORPAY SETTLEMENT,S0563536697
bank_yGSle02qjUi4qG,UTIBN30372704332,2026-06-29T14:30:00,2540380,INR,NEFT CR: YESBANK UTIBN30372704332 RAZORPAY SETTLEMENT,S1078014561
bank_VkKb3JAkcy3c5Q,ICICN29106994166,2026-06-05T14:30:00,139771,INR,NEFT CR: YESBANK ICICN29106994166 RAZORPAY SETTLEMENT,S4333171498
bank_JO0omZYclCEuJ5,UTIBN79935922764,2026-07-08T14:30:00,7068918,INR,NEFT CR: HDFC UTIBN79935922764 RAZORPAY SETTLEMENT,S8417454463
bank_q1aOQeWvN5XMmA,ICICN51001634305,2026-07-10T14:30:00,50000535,INR,NEFT CR: ICICI ICICN51001634305 RAZORPAY SETTLEMENT,S4712171190
bank_qSTUMdMhojDFiZ,HDFCN21941280995,2026-06-23T14:30:00,46532493,INR,NEFT CR: YESBANK HDFCN21941280995 RAZORPAY SETTLEMENT,S2022531382
bank_NkqM7ylUz7RO3S,KKBKN31951291374,2026-06-11T14:30:00,97640,INR,NEFT CR: HDFC KKBKN31951291374 RAZORPAY SETTLEMENT,S6723802633
bank_jDa4Eh3f8Hebdx,UTIBN47215686489,2026-06-20T14:30:00,2817746,INR,NEFT CR: AXIS UTIBN47215686489 RAZORPAY SETTLEMENT,S5350228169
bank_8BSVubayFpe8WH,ICICN13534689912,2026-06-05T14:30:00,19416711,INR,NEFT CR: HDFC ICICN13534689912 RAZORPAY SETTLEMENT,S3512588745
bank_EHECdqv3ASYl6G,UTIBN56399654161,2026-06-08T14:30:00,1926133,INR,NEFT CR: KOTAK UTIBN56399654161 RAZORPAY SETTLEMENT,S8496384062
bank_GeFPH89PJz4WXL,UTIBN04450471440,2026-07-11T14:30:00,20516235,INR,NEFT CR: YESBANK UTIBN04450471440 RAZORPAY SETTLEMENT,S5141356804
bank_Bydpr08A4KfahL,HDFCN85805229957,2026-06-23T14:30:00,74410,INR,NEFT CR: KOTAK HDFCN85805229957 RAZORPAY SETTLEMENT,S6031522947
bank_vKLZdG1MG87EED,UTIBN15938033432,2026-06-18T14:30:00,50000540,INR,NEFT CR: AXIS UTIBN15938033432 RAZORPAY SETTLEMENT,S8703968607
bank_OFBYPkOZqOZw2T,UTIBN00513647508,2026-07-08T14:30:00,7752060,INR,NEFT CR: KOTAK UTIBN00513647508 RAZORPAY SETTLEMENT,S0375053345
