event_id,event_type,txn_id,order_id,amount_paise,currency,status,created_at,method,description
evt_y82BIZtsO12yry,PAYMENT,pay_BZdhvKlW6TXGwx,order_WFqMSOlLQMd9o3,299900,INR,PROCESSED,2026-06-02T11:14:44,wallet,Atomic Habits hardcover edition
evt_PfK2PsKfZedUb8,PAYMENT,pay_YAQLLloIpoZUhh,order_MyjS5IgvK84y0U,999900,INR,PROCESSED,2026-06-03T18:46:29,upi,Saffola gold edible oil 1L
evt_ruClUh9OmARCAn,PAYMENT,pay_FaM7Helf0oWXQd,order_1NMj0wDOuzpLym,14900,INR,CAPTURED,2026-06-05T17:48:32,wallet,Puma Smash v2 sneakers
evt_0SA28CRyg16DKu,REFUND,pay_msVuhOz0yVOIIc,order_4jkUwOiftoDdZR,25000,INR,PROCESSED,2026-06-22T12:57:03,card,
evt_XRKzRd50fVrjhm,PAYMENT,pay_Xhx7ee8BkbJ3qS,order_EpemOUMFU00Jev,1499900,INR,PROCESSED,2026-06-13T14:13:49,card,Classmate spiral notebook pack
evt_H7rXDtPl4QSi5B,PAYMENT,pay_WAHgT7iKLuAdMG,order_q8Gi12d6xBIDzA,5700,INR,PROCESSED,2026-06-17T12:42:15,upi,Lakme absolute matte foundation
evt_iFes66h7LHBea4,REFUND,pay_niaM2uswAxqlLG,order_wJuayKrrZL588j,20000105,INR,PROCESSED,2026-06-04T07:38:38,upi,
evt_0dic0eoQYO42f3,PAYMENT,pay_nTGoYrOhNBpkuD,order_JvXBrzTewFy6So,1299900,INR,PROCESSED,2026-06-30T04:07:34,upi,Realme Buds Wireless 2 neckband
evt_ZS42cQUoxGKLzj,PAYMENT,pay_lfrVpzeIrpjgth,order_0I2Z1n7Q5ZdBsL,4999900,INR,CAPTURED,2026-06-10T01:47:32,upi,Bata formal derby black
evt_MVzd7TNwNfRlnY,PAYMENT,pay_A5RZ3z4XatlNiG,order_5J3R0tYal6dyxT,4932801,INR,PROCESSED,2026-07-07T06:08:06,card,Allen Solly cotton casual shirt
evt_eLEhin4yB2JlEn,PAYMENT,pay_oq2MPgbQ6p9fpQ,order_0bCwifPDcC0nwx,11535200,INR,PROCESSED,2026-07-10T23:52:26,upi,Noise ColorFit smartwatch
evt_GlKZuCLym9zf5I,REFUND,pay_LchFgg9YprSyGp,order_wZ6DxZKfmY5PS5,2501,INR,PROCESSED,2026-06-04T11:00:00,upi,
evt_shljJhOSct7dCF,PAYMENT,pay_kWO6MJvbLqx3bQ,order_i8AVyECfYyU0MO,14900,INR,CAPTURED,2026-06-22T19:26:40,card,NCERT class 10 science textbook
evt_q6SapU87qlUuBm,PAYMENT,pay_GUxGCLCI0gKC5O,order_ukjUeenzgP9tNP,212100,INR,PROCESSED,2026-06-19T02:15:40,wallet,Saffola gold edible oil 1L
evt_0djIECxyAt1MKY,PAYMENT,pay_nmJVCjXLOE0bPt,order_sNum9huoYLUd2m,99900,INR,PROCESSED,2026-07-05T02:25:56,card,Lakme absolute matte foundation
evt_X0etaxTnsWygli,PAYMENT,pay_k2R31EvTgINIJI,order_OMBYJLHvYEYdAT,19900,INR,PROCESSED,2026-07-10T08:00:00,wallet,Mi power bank 20000mAh
evt_AJEgKwhST6OKoM,PAYMENT,pay_Oi7Jis8OReV3mK,order_pNlbTZUSzPw6Ue,2999900,INR,PROCESSED,2026-06-03T19:16:09,card,NCERT class 10 science textbook
evt_OIU67gGpefoHDn,PAYMENT,pay_zNShUue7g9q8ea,order_6dorU3VDEQMWSG,3458684,INR,CAPTURED,2026-06-05T17:48:32,upi,Noise ColorFit smartwatch
evt_s9sWwiItwYuAnw,PAYMENT,pay_905AdXRQMCjKNO,order_sRJ3ZEPGClHbUN,20200,INR,PROCESSED,2026-06-15T21:58:41,upi,Nike Air Zoom Pegasus 40
evt_ufCBr6JUBKqZuD,PAYMENT,pay_WfNW2f95oR5lSa,order_A9DQpOGhTTO8Q7,100000,INR,PROCESSED,2026-06-04T16:20:42,netbanking,Puma Smash v2 sneakers
evt_qqOvwvnX6WjhbE,PAYMENT,pay_QIRwjjFqKXRT5f,order_cb83G63nGGVQ1h,442706,INR,PROCESSED,2026-07-13T13:07:39,upi,Allen Solly cotton casual shirt
evt_5QUD3deBfu1B5q,REFUND,pay_PwmLuoa2ecymv6,order_got1JfUzhx6xth,20000109,INR,PROCESSED,2026-07-14T19:38:15,upi,
evt_Hw3ImotZXT07qt,PAYMENT,pay_JViDA92X0ih8mt,order_0crIZyRwsGe9IJ,1830043,INR,CAPTURED,2026-07-01T11:33:00,wallet,Woodland leather high ankle
