detail_id,settlement_id,event_id,line_type,gross_effect_paise,fee_paise,tax_paise,net_effect_paise,settled_at,currency,reference_text
dtl_95oR5lSaufCBr6,setl_kdFSEESn3IndLm,evt_0ZtW8CqR14Saqv,PAYMENT,919700,16095,2897,900708,2026-07-16T11:30:00,INR,
dtl_oBuxV1bKViiL48,setl_tL08ipimQtYobs,evt_H9wIc3SownH4g7,PAYMENT,5100,153,28,4919,2026-07-13T11:30:00,INR,
dtl_prSyGp6OEaSVeR,setl_gVgQFIq0XlQpYA,,REFUND,-100,0,0,-100,2026-06-24T11:30:00,INR,
dtl_MBbxTlgh6LQXbV,setl_gtrQfu7mwXyrWv,evt_3t892vtbQfOl7O,PAYMENT,29910971,598219,107679,29205073,2026-06-13T11:30:00,INR,
dtl_t4nPvZRwwqPTMB,setl_hYXx67VfJgwRtI,evt_OpkykV4nhQL0Oj,PAYMENT,8542400,0,0,8542400,2026-06-29T11:30:00,INR,
dtl_RyP7o1VuCT9I0T,setl_9Ffgb3h57CHAJT,evt_FvGpISsV8WvNyf,PAYMENT,4291400,0,0,4291400,2026-06-23T11:30:00,INR,
dtl_p6mTx2XHxy36HN,setl_0SA28CRyg16DKu,evt_EhGDoOvlO5463Y,PAYMENT,2499900,43748,7875,2448277,2026-07-15T11:30:00,INR,
dtl_XhOV0e4QayI9sP,setl_dIwWvyo70SbrBV,evt_UeGPYb9nKhkawM,PAYMENT,15200,0,0,15200,2026-07-16T11:30:00,INR,
dtl_g9jXPdjN7imIlY,setl_16QMQYaeHgeBH3,evt_pq1nxuh7HGvGQn,PAYMENT,799900,0,0,799900,2026-06-27T11:30:00,INR,
dtl_uadRNtDKZKxoPk,setl_KamCpoLFY3YQIn,,REFUND,-103,0,0,-103,2026-06-16T11:30:00,INR,
dtl_GG4caMZozTZEqt,setl_0dEkswc7Pi5bKi,evt_hRE0goml3UEZZS,PAYMENT,100000,0,0,100000,2026-06-13T11:30:00,INR,
dtl_gjYeIkkL0yCLGR,setl_8rBt0tSwfr9Qww,evt_tCOBeX8JFl9s5f,PAYMENT,34900,698,126,34076,2026-07-06T11:30:00,INR,
dtl_8CqvWIh3yQ4rfE,setl_08yppqZUn8yXPv,evt_pTiQHOnHTQnKqZ,PAYMENT,10600,186,33,10381,2026-06-02T11:30:00,INR,
