settlement_id,utr,settlement_date,gross_payment_paise,refund_paise,fee_paise,tax_paise,net_amount_paise,line_count,currency,status
setl_hYXx67VfJgwRtI,YESBN17705698421,2026-06-29,14736394,0,95024,17105,14624265,7,INR,PROCESSED
setl_842SyuoKts9sH8,KKBKN04292896095,2026-07-06,40000400,10000100,0,0,30000300,2,INR,PROCESSED
setl_6p3wjSbNku7LHI,YESBN34409873278,2026-06-15,3657418,105,872,157,3656284,6,INR,PROCESSED
setl_dt8GgAMgCvp0U0,YESBN62945802009,2026-06-03,30120109,10000103,2396,432,20117178,4,INR,PROCESSED
setl_SuqvHiJ6iSUDhZ,HDFCN99024929743,2026-06-22,60000648,10000108,0,0,50000540,2,INR,PROCESSED
setl_pusldMYC3l7rMe,UTIBN54463653950,2026-06-13,31890150,0,563309,101396,31225445,6,INR,PROCESSED
setl_jiy5cz774WlTPt,UTIBN57625526115,2026-07-15,4867066,0,96975,17456,4752635,5,INR,PROCESSED
setl_IgiA7CPCBTaB9a,ICICN53105305025,2026-06-30,39179602,0,1175388,211570,37792644,1,INR,PROCESSED
setl_k2hRqh2UNJUqIh,KKBKN43209730197,2026-07-13,5401795,101,5862,1056,5394776,7,INR,PROCESSED
setl_08PBqGpfjf2Bfe,YESBN81693929803,2026-06-12,50000555,0,0,0,50000555,1,INR,PROCESSED
setl_ZfPlpnjnfQ482T,YESBN34604005302,2026-06-05,50000565,10000113,0,0,40000452,2,INR,PROCESSED
setl_tL08ipimQtYobs,YESBN77557156756,2026-07-13,2221800,0,16151,2908,2202741,5,INR,PROCESSED
setl_xfEboOcL6xwYFm,ICICN13002817712,2026-07-08,2147414,0,998,180,2146236,5,INR,PROCESSED
setl_9Ffgb3h57CHAJT,KKBKN18721974225,2026-06-23,7403518,0,61804,11125,7330589,5,INR,PROCESSED
setl_ztEt4QFUcxnZIY,YESBN45519511407,2026-06-08,290815,0,7530,1355,281930,3,INR,PROCESSED
setl_mTAfJZIU3cHYvn,HDFCN65516463135,2026-06-22,6373937,0,117161,21089,6235687,6,INR,PROCESSED
setl_cVnNkhSkItGJm1,YESBN73606171057,2026-06-10,139900,25000,500,90,114310,3,INR,PROCESSED
setl_MSbFl71qKAyXnS,KKBKN37364916105,2026-07-07,5333700,0,314,57,5333329,5,INR,PROCESSED
setl_iYewZKMvkqajNV,KKBKN46954739737,2026-07-08,1911100,0,30308,5457,1875335,4,INR,PROCESSED
setl_q3Hv5fP5XtNjEV,ICICN25787381506,2026-06-03,3926000,0,61596,11088,3853316,5,INR,PROCESSED
setl_FH87OdcPjopyc8,ICICN26130751191,2026-06-16,60000636,20000212,0,0,40000424,3,INR,PROCESSED
setl_fFW4nW9wkmJ6WN,ICICN74795455553,2026-07-14,38146878,106,0,0,38146772,3,INR,PROCESSED
setl_8gX8T9qT4ai9Lx,ICICN08666989806,2026-06-05,44396339,10000113,0,0,34396226,3,INR,PROCESSED
setl_fwXNaO8WhQwTWU,ICICN57966284520,2026-06-20,30436636,10000112,0,0,20436524,4,INR,PROCESSED
setl_2mvVwiV812hV8M,UTIBN54920953535,2026-06-13,6184100,0,9568,1723,6172809,5,INR,PROCESSED
setl_BLc32UGfQ6c06R,YESBN34793834491,2026-06-15,50000525,0,0,0,50000525,1,INR,PROCESSED
setl_8TtVOrw4d5rChs,HDFCN33780158456,2026-06-02,1628200,2500,0,0,1625700,3,INR,PROCESSED
setl_xp5hnQJl84MW71,KKBKN74335137677,2026-06-20,34232312,10000104,0,0,24232208,5,INR,PROCESSED
setl_KQfn5Daa3UtXm4,HDFCN01077003251,2026-07-06,40000436,10000109,0,0,30000327,2,INR,PROCESSED
setl_jBsxkLGPzFuEGW,ICICN73530030347,2026-06-08,100000,0,2000,360,97640,1,INR,PROCESSED
setl_SjPLR29SgQ2by9,UTIBN33317149886,2026-06-04,30000321,10000107,0,0,20000214,2,INR,PROCESSED
setl_Ct42sR5EwNsvMT,ICICN50357329041,2026-07-14,31510103,10000101,198,36,21509768,4,INR,PROCESSED
setl_QPe7pGO0QCWg91,ICICN53135871299,2026-06-04,4741433,108,79349,14283,4647693,7,INR,PROCESSED
setl_ttSlJCiZss71HE,HDFCN14779484438,2026-07-16,592559,87825,13388,2411,488935,3,INR,PROCESSED
setl_i4vu6nVx11hxv6,YESBN82567417252,2026-07-02,4985749,25000,99938,17989,4842822,4,INR,PROCESSED
setl_MaLuBPkh537M0B,YESBN79476856353,2026-07-11,7684437,0,39141,7046,7638250,5,INR,PROCESSED
setl_8rBt0tSwfr9Qww,UTIBN08210786560,2026-07-06,30095127,10000109,698,126,20094194,4,INR,PROCESSED
setl_igEe4fNcka05Sx,ICICN29969823528,2026-06-06,290479,25000,500,90,264889,3,INR,PROCESSED
setl_dIwWvyo70SbrBV,UTIBN16589051440,2026-07-16,5517200,0,105239,18943,5393018,6,INR,PROCESSED
setl_KDOM0kDENOUwft,KKBKN51696662547,2026-07-13,6361000,0,0,0,6361000,4,INR,PROCESSED
setl_tQF2HIalBvWWvf,ICICN00000643053,2026-06-27,337925,0,1758,317,335850,6,INR,PROCESSED
setl_KeVsabj5yizFNZ,ICICN39825428989,2026-07-14,50000505,10000101,0,0,40000404,2,INR,PROCESSED
setl_jfS75PpM7il74g,UTIBN63845458073,2026-06-10,2014399,0,0,0,2014399,4,INR,PROCESSED
setl_gVgQFIq0XlQpYA,YESBN65759135829,2026-06-24,619700,100,8796,1584,609220,4,INR,PROCESSED
setl_reoGyPWObglP3y,HDFCN94080936590,2026-06-05,3595961,0,54038,9728,3532195,7,INR,PROCESSED
setl_enspPzy67ef9Rw,KKBKN90139786445,2026-07-11,35567286,109,224,40,35566913,4,INR,PROCESSED
setl_3p2g9RLlyD0pFu,HDFCN81418793350,2026-07-03,5698900,0,19164,3450,5676286,5,INR,PROCESSED
setl_vx7RPwBPSqX4dw,UTIBN00181094540,2026-06-03,30490719,0,2758,497,30487464,5,INR,PROCESSED
setl_PdsT1wZJ2jKAsS,UTIBN95477273401,2026-06-22,30000324,10000108,0,0,20000216,2,INR,PROCESSED
setl_VKZlZZeGbcedNw,KKBKN76028595849,2026-06-03,40000412,10000103,0,0,30000309,2,INR,PROCESSED
setl_8V6GyOywVEqP2O,UTIBN52366654721,2026-06-08,11978342,0,228362,41106,11708874,7,INR,PROCESSED
setl_aklwkoKuadvlue,KKBKN14212544903,2026-06-29,296249,0,98,18,296133,6,INR,PROCESSED
setl_2RgtznvmCHdSRQ,KKBKN82718337020,2026-07-04,2449700,0,0,0,2449700,3,INR,PROCESSED
setl_5TyLKvQznJwRJ2,ICICN16586492374,2026-06-05,60000660,10000110,0,0,50000550,2,INR,PROCESSED
setl_ZwH6Qwxq4NXAx7,KKBKN67011438695,2026-06-25,552602,0,9550,1720,541332,4,INR,PROCESSED
setl_AKkZMZfdmZ19qV,HDFCN12175047715,2026-06-20,50000560,10000112,0,0,40000448,2,INR,PROCESSED
setl_FaB31uiMHtNH7h,YESBN58405448530,2026-06-04,60000642,20000214,0,0,40000428,3,INR,PROCESSED
setl_wOiftoDdZROTiU,UTIBN90784703748,2026-07-13,100000,0,0,0,100000,1,INR,PROCESSED
setl_x5UZWrZy27GWnU,ICICN76175315177,2026-06-06,2760421,0,54144,9747,2696530,6,INR,PROCESSED
setl_ffJSmFVaeI6A3V,KKBKN33311906266,2026-06-16,30000318,10000106,0,0,20000212,2,INR,PROCESSED
setl_SYZ5X1mrKfMf8q,UTIBN00452232323,2026-07-10,979105,0,98,18,978989,4,INR,PROCESSED
setl_Gpel6mc5gHWj5p,HDFCN54761409210,2026-06-20,40000416,0,0,0,40000416,1,INR,PROCESSED
setl_Iftus2CxI50eQ5,KKBKN90579672841,2026-06-08,1518660,166850,1027,185,1350598,5,INR,PROCESSED
setl_EgId4RDr0w1ykW,ICICN77422227670,2026-07-06,30125100,10000100,2496,450,20122054,4,INR,PROCESSED
setl_ACkeLXrtXGr4hq,YESBN23355490535,2026-06-05,30000330,10000110,0,0,20000220,2,INR,PROCESSED
